resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
21919,908,794,192,11.0,12,,R,19,0.0,23,,,21.0,17.0,1:30.280,174.696,17
21920,908,786,192,27.0,9,,R,20,0.0,16,,,14.0,20.0,1:41.151,155.921,17
21921,908,784,197,8.0,14,,R,21,0.0,11,,,7.0,21.0,1:46.312,148.352,17
21922,908,805,199,9.0,19,,R,22,0.0,8,,,6.0,22.0,1:48.459,145.415,17
21923,909,795,185,3.0,5,1.0,1,1,25.0,44,1:24:36.556,5076556.0,44.0,6.0,1:52.974,223.187,1
21924,909,768,45,6.0,1,2.0,2,2,18.0,44,+3.383,5079939.0,36.0,1.0,1:50.511,228.161,1
21925,909,799,137,77.0,6,3.0,3,3,15.0,44,+28.032,5104588.0,40.0,4.0,1:52.716,223.698,1
21926,909,741,6,7.0,8,4.0,4,4,12.0,44,+36.815,5113371.0,39.0,13.0,1:54.090,221.004,1
21927,909,777,185,1.0,3,5.0,5,5,10.0,44,+52.196,5128752.0,36.0,5.0,1:52.953,223.229,1
21928,909,738,114,22.0,10,6.0,6,6,8.0,44,+54.580,5131136.0,38.0,8.0,1:53.483,222.186,1
21929,909,742,6,14.0,4,7.0,7,7,6.0,44,+1:01.162,5137718.0,29.0,11.0,1:53.879,221.413,1
21930,909,794,192,11.0,13,8.0,8,8,4.0,44,+1:04.293,5140849.0,28.0,16.0,1:54.532,220.151,1
21931,909,804,186,26.0,11,9.0,9,9,2.0,44,+1:05.347,5141903.0,26.0,14.0,1:54.159,220.870,1
21932,909,786,192,27.0,18,10.0,10,10,1.0,44,+1:05.697,5142253.0,40.0,9.0,1:53.612,221.934,1
21933,909,796,186,25.0,12,11.0,11,11,0.0,44,+1:11.920,5148476.0,31.0,7.0,1:53.276,222.592,1
21934,909,803,114,20.0,7,12.0,12,12,0.0,44,+1:14.262,5150818.0,28.0,15.0,1:54.203,220.785,1
21935,909,749,137,19.0,9,13.0,13,13,0.0,44,+1:15.975,5152531.0,37.0,3.0,1:52.512,224.104,1
21936,909,776,176,99.0,14,14.0,14,14,0.0,44,+1:22.447,5159003.0,36.0,2.0,1:52.413,224.301,1
21937,909,798,176,21.0,20,15.0,15,15,0.0,44,+1:30.825,5167381.0,32.0,12.0,1:54.000,221.178,1
21938,909,801,198,4.0,19,16.0,16,16,0.0,43,,,31.0,17.0,1:55.247,218.785,15
21939,909,805,199,9.0,22,17.0,17,17,0.0,43,,,26.0,19.0,1:55.900,217.553,15
21940,909,800,198,17.0,16,18.0,18,18,0.0,39,,,32.0,20.0,1:56.347,216.717,13
21941,909,774,45,44.0,2,,R,19,0.0,38,,,33.0,10.0,1:53.707,221.748,36
